"stimulus","rt","response","type_of_trial","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","prolific_id","prolific_id_man","view_history","percent","estimate","distance","buyin","bet","result","cons","outcome_valence","error","manip_check","truth_bn","truth_lk","minimum","report","truth","question_order","wallet","success","earnings","bonus","low_thresholds","age","gender","race_ethnicity","income","education","ses","party","politics","religiosity","understand","confusing","annoying","issues","other_feedback"
"","776","{""estimate"":""25""}","estimate_wheel_prac","survey-html-form","10","6987","0.0-4.0-2.1","a77jtbupmc","","","","46","25","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""wheel"" class=""has-pin"" style=""background-image: conic-gradient(lightgreen 46%, black 0);""><div id=""pin""></div></div>
        <div>
            <br>
            <strong>Exact chance of winning:</strong> 46%
            <br>
            <strong>Your Estimate:</strong> 25% (21 away)
            <br>
            <br>
            Press space to finish.
        </div>
    ","534"," ","reporter_feedback","html-keyboard-response","11","6987","0.0-4.0-3.1","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","44290","","instructions","instructions","12","6988","0.0-5.0","a77jtbupmc","","","[{""page_index"":0,""viewing_time"":3742},{""page_index"":1,""viewing_time"":3372},{""page_index"":2,""viewing_time"":2971},{""page_index"":3,""viewing_time"":2732},{""page_index"":4,""viewing_time"":3033},{""page_index"":5,""viewing_time"":3310},{""page_index"":4,""viewing_time"":3564},{""page_index"":5,""viewing_time"":3865},{""page_index"":6,""viewing_time"":3521},{""page_index"":7,""viewing_time"":3642},{""page_index"":8,""viewing_time"":3985},{""page_index"":7,""viewing_time"":3747},{""page_index"":8,""viewing_time"":2806}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1508","{""minimum"":""25""}","enter_minimum","survey-html-form","13","8543","0.0-6.0-0.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""text-container"" class=""container"">
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">If money is on the line, this is how much you will win or lose.</span>
            </div>
            <strong>Amount at Stake: </strong> 17&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is how much money you currently have.</span>
            </div>
            <strong>Your Wallet: </strong> 100&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is the smallest chance of winning you are willing to accept. If the reporter's estimate is higher than this, money will be on the line.</span>
            </div>
            <strong>Your Threshold: </strong> <input id=""minimum"" class=""percentage-enter"" name=""minimum"" type=""number"" max=""75"" min=""25"" placeholder=""25"" readonly=""true""/> % chance of winning
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">After seeing the wheel for one second, the reporter estimated that the chance of winning was this %.</span>
            </div>
            <strong>Reporter's Estimate: </strong> 23% chance of winning
            <div style=""text-align: center;"">
                <br>
                <br>
                <strong><u>MONEY NOT ON THE LINE</u></strong>
                <br>
                <span style=""font-size: 15px"">Reporter's estimate was <u>lower</u> than your threshold</span>
            </div>
        </div>
        <div id=""wheel-container"" class=""container"">
            <div><span style=""font-weight: bolder; font-size: 30px;"">&darr;</span></div>
            <div id=""wheel"" class=""masked"">???</div>
            <br>
            <br>
        </div>
        <br>
        <br>
    ","680","0","see_report","html-button-response","14","8545","0.0-6.0-1.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""text-container"" class=""container"">
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">If money is on the line, this is how much you will win or lose.</span>
            </div>
            <strong>Amount at Stake: </strong> 17&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is how much money you currently have.</span>
            </div>
            <strong>Your Wallet: </strong> 100&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is the smallest chance of winning you are willing to accept. If the reporter's estimate is higher than this, money will be on the line.</span>
            </div>
            <strong>Your Threshold: </strong> <input id=""minimum"" class=""percentage-enter"" name=""minimum"" type=""number"" max=""75"" min=""25"" placeholder=""25"" readonly=""true""/> % chance of winning
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">After seeing the wheel for one second, the reporter estimated that the chance of winning was this %.</span>
            </div>
            <strong>Reporter's Estimate: </strong> 23% chance of winning
            <div style=""text-align: center;"">
                <br>
                <br>
                <strong><u>MONEY NOT ON THE LINE</u></strong>
                <br>
                <span style=""font-size: 15px"">Reporter's estimate was <u>lower</u> than your threshold</span>
            </div>
        </div>
        <div id=""wheel-container"" class=""container"">
            <div><span style=""font-weight: bolder; font-size: 30px;"">&darr;</span></div>
            <div id=""wheel"" class=""has-pin"" style=""background-image: conic-gradient(lightgreen 27%, black 0);""><div id=""pin""></div></div>
            <div id=""true-value""><strong>Exact chance of winning:</strong> 27%</div>
        </div>
        <br>
        <br>
    ","865","0","see_wheel","html-button-response","15","8545","0.0-6.0-2.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""text-container"" class=""container"">
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">If money is on the line, this is how much you will win or lose.</span>
            </div>
            <strong>Amount at Stake: </strong> 17&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is how much money you currently have.</span>
            </div>
            <strong>Your Wallet: </strong> 100&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is the smallest chance of winning you are willing to accept. If the reporter's estimate is higher than this, money will be on the line.</span>
            </div>
            <strong>Your Threshold: </strong> <input id=""minimum"" class=""percentage-enter"" name=""minimum"" type=""number"" max=""75"" min=""25"" placeholder=""25"" readonly=""true""/> % chance of winning
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">After seeing the wheel for one second, the reporter estimated that the chance of winning was this %.</span>
            </div>
            <strong>Reporter's Estimate: </strong> 23% chance of winning
            <div style=""text-align: center;"">
                <br>
                <br>
                <strong><u>MONEY NOT ON THE LINE</u></strong>
                <br>
                <span style=""font-size: 15px"">Reporter's estimate was <u>lower</u> than your threshold</span>
            </div>
        </div>
        <div id=""wheel-container"" class=""container"">
            <div><span style=""font-weight: bolder; font-size: 30px;"">&darr;</span></div>
            <div id=""wheel"" class=""has-pin"" style=""background-image: conic-gradient(lightgreen 27%, black 0);""><div id=""pin""></div></div>
            <div id=""true-value""><strong>Exact chance of winning:</strong> 27%</div>
        </div>
        <br>
        <br>
    ","412"," ","spin_wheel","html-keyboard-response","16","8545","0.0-6.0-3.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","9097","{""manip_check"":""equal"",""truth_bn"":""1"",""truth_lk"":""2""}","measures_prac","survey-html-form","17","17644","0.0-6.0-4.0","a77jtbupmc","","","","","","","17","0","0","1","positive","4","equal","1","2","25","23","27","","","","","","","","","","","","","","","","","","","",""
"","666","{""minimum"":""25""}","enter_minimum","survey-html-form","18","18312","0.0-6.0-0.1","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""text-container"" class=""container"">
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">If money is on the line, this is how much you will win or lose.</span>
            </div>
            <strong>Amount at Stake: </strong> 9&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is how much money you currently have.</span>
            </div>
            <strong>Your Wallet: </strong> 100&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is the smallest chance of winning you are willing to accept. If the reporter's estimate is higher than this, money will be on the line.</span>
            </div>
            <strong>Your Threshold: </strong> <input id=""minimum"" class=""percentage-enter"" name=""minimum"" type=""number"" max=""75"" min=""25"" placeholder=""25"" readonly=""true""/> % chance of winning
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">After seeing the wheel for one second, the reporter estimated that the chance of winning was this %.</span>
            </div>
            <strong>Reporter's Estimate: </strong> 28% chance of winning
            <div style=""text-align: center;"">
                <br>
                <br>
                <strong><u>MONEY ON THE LINE</u></strong>
                <br>
                <span style=""font-size: 15px"">Reporter's estimate was <u>higher</u> than your threshold</span>
            </div>
        </div>
        <div id=""wheel-container"" class=""container"">
            <div><span style=""font-weight: bolder; font-size: 30px;"">&darr;</span></div>
            <div id=""wheel"" class=""masked"">???</div>
            <br>
            <br>
        </div>
        <br>
        <br>
    ","631","0","see_report","html-button-response","19","18313","0.0-6.0-1.1","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""text-container"" class=""container"">
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">If money is on the line, this is how much you will win or lose.</span>
            </div>
            <strong>Amount at Stake: </strong> 9&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is how much money you currently have.</span>
            </div>
            <strong>Your Wallet: </strong> 100&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is the smallest chance of winning you are willing to accept. If the reporter's estimate is higher than this, money will be on the line.</span>
            </div>
            <strong>Your Threshold: </strong> <input id=""minimum"" class=""percentage-enter"" name=""minimum"" type=""number"" max=""75"" min=""25"" placeholder=""25"" readonly=""true""/> % chance of winning
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">After seeing the wheel for one second, the reporter estimated that the chance of winning was this %.</span>
            </div>
            <strong>Reporter's Estimate: </strong> 28% chance of winning
            <div style=""text-align: center;"">
                <br>
                <br>
                <strong><u>MONEY ON THE LINE</u></strong>
                <br>
                <span style=""font-size: 15px"">Reporter's estimate was <u>higher</u> than your threshold</span>
            </div>
        </div>
        <div id=""wheel-container"" class=""container"">
            <div><span style=""font-weight: bolder; font-size: 30px;"">&darr;</span></div>
            <div id=""wheel"" class=""has-pin"" style=""background-image: conic-gradient(lightgreen 34%, black 0);""><div id=""pin""></div></div>
            <div id=""true-value""><strong>Exact chance of winning:</strong> 34%</div>
        </div>
        <br>
        <br>
    ","595","0","see_wheel","html-button-response","20","18313","0.0-6.0-2.1","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""text-container"" class=""container"">
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">If money is on the line, this is how much you will win or lose.</span>
            </div>
            <strong>Amount at Stake: </strong> 9&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is how much money you currently have.</span>
            </div>
            <strong>Your Wallet: </strong> 100&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is the smallest chance of winning you are willing to accept. If the reporter's estimate is higher than this, money will be on the line.</span>
            </div>
            <strong>Your Threshold: </strong> <input id=""minimum"" class=""percentage-enter"" name=""minimum"" type=""number"" max=""75"" min=""25"" placeholder=""25"" readonly=""true""/> % chance of winning
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">After seeing the wheel for one second, the reporter estimated that the chance of winning was this %.</span>
            </div>
            <strong>Reporter's Estimate: </strong> 28% chance of winning
            <div style=""text-align: center;"">
                <br>
                <br>
                <strong><u>MONEY ON THE LINE</u></strong>
                <br>
                <span style=""font-size: 15px"">Reporter's estimate was <u>higher</u> than your threshold</span>
            </div>
        </div>
        <div id=""wheel-container"" class=""container"">
            <div><span style=""font-weight: bolder; font-size: 30px;"">&darr;</span></div>
            <div id=""wheel"" class=""has-pin"" style=""background-image: conic-gradient(lightgreen 34%, black 0);""><div id=""pin""></div></div>
            <div id=""true-value""><strong>Exact chance of winning:</strong> 34%</div>
        </div>
        <br>
        <br>
    ","511"," ","spin_wheel","html-keyboard-response","21","18313","0.0-6.0-3.1","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","8393","{""manip_check"":""equal"",""truth_bn"":""1"",""truth_lk"":""2""}","measures_prac","survey-html-form","22","26707","0.0-6.0-4.1","a77jtbupmc","","","","","","","9","1","1","0","neutral","6","equal","1","2","25","28","34","","","","","","","","","","","","","","","","","","","",""
"","5687","{""Q0"":""Estimate the chance of winning of the wheel"",""Q1"":""Decide which color to bet on"",""Q2"":""On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter""}","comprehension","survey-multi-choice","23","26708","0.0-7.0-0.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: black"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","707","0","incorrect_response","html-button-response","24","26708","0.0-7.0-1.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6313","{""Q0"":""Estimate the chance of winning of the wheel"",""Q1"":""Decide which color to bet on"",""Q2"":""On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter""}","comprehension","survey-multi-choice","25","26708","0.0-7.0-2.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: black"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","635","0","incorrect_response","html-button-response","26","26708","0.0-7.0-3.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","5245","{""Q0"":""Estimate the chance of winning of the wheel"",""Q1"":""Decide which color to bet on"",""Q2"":""On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter""}","comprehension","survey-multi-choice","27","26709","0.0-7.0-4.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: black"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","645","0","incorrect_response","html-button-response","28","26709","0.0-7.0-5.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","7281","{""Q0"":""Estimate the percentage of the wheel that is black"",""Q1"":""Decide which color to bet on"",""Q2"":""Only when the Reporter's estimate is greater than or equal to the number the Decider enters""}","comprehension","survey-multi-choice","29","26709","0.0-7.0-6.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
