"stimulus","rt","response","type_of_trial","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","prolific_id","prolific_id_man","view_history","percent","estimate","distance","buyin","bet","result","cons","outcome_valence","error","manip_check","truth_bn","truth_lk","minimum","report","truth","question_order","wallet","success","earnings","bonus","low_thresholds","age","gender","race_ethnicity","income","education","ses","party","politics","religiosity","understand","confusing","annoying","issues","other_feedback"
"","334","{""estimate"":""25""}","estimate_wheel_prac","survey-html-form","10","2670","0.0-4.0-2.1","ffcl5dp5qv","","","","46","25","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""wheel"" class=""has-pin"" style=""background-image: conic-gradient(lightgreen 46%, black 0);""><div id=""pin""></div></div>
        <div>
            <br>
            <strong>Exact chance of winning:</strong> 46%
            <br>
            <strong>Your Estimate:</strong> 25% (21 away)
            <br>
            <br>
            Press space to finish.
        </div>
    ","565"," ","reporter_feedback","html-keyboard-response","11","2671","0.0-4.0-3.1","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","38029","","instructions","instructions","12","2671","0.0-5.0","ffcl5dp5qv","","","[{""page_index"":0,""viewing_time"":2687},{""page_index"":1,""viewing_time"":3405},{""page_index"":2,""viewing_time"":3414},{""page_index"":3,""viewing_time"":3144},{""page_index"":4,""viewing_time"":3749},{""page_index"":3,""viewing_time"":3637},{""page_index"":4,""viewing_time"":3380},{""page_index"":5,""viewing_time"":3761},{""page_index"":6,""viewing_time"":3511},{""page_index"":7,""viewing_time"":4116},{""page_index"":8,""viewing_time"":3225}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","746","{""minimum"":""25""}","enter_minimum","survey-html-form","13","3422","0.0-6.0-0.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""text-container"" class=""container"">
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">If money is on the line, this is how much you will win or lose.</span>
            </div>
            <strong>Amount at Stake: </strong> 9&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is how much money you currently have.</span>
            </div>
            <strong>Your Wallet: </strong> 100&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is the smallest chance of winning you are willing to accept. If the reporter's estimate is higher than this, money will be on the line.</span>
            </div>
            <strong>Your Threshold: </strong> <input id=""minimum"" class=""percentage-enter"" name=""minimum"" type=""number"" max=""75"" min=""25"" placeholder=""25"" readonly=""true""/> % chance of winning
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">After seeing the wheel for one second, the reporter estimated that the chance of winning was this %.</span>
            </div>
            <strong>Reporter's Estimate: </strong> 30% chance of winning
            <div style=""text-align: center;"">
                <br>
                <br>
                <strong><u>MONEY ON THE LINE</u></strong>
                <br>
                <span style=""font-size: 15px"">Reporter's estimate was <u>higher</u> than your threshold</span>
            </div>
        </div>
        <div id=""wheel-container"" class=""container"">
            <div><span style=""font-weight: bolder; font-size: 30px;"">&darr;</span></div>
            <div id=""wheel"" class=""masked"">???</div>
            <br>
            <br>
        </div>
        <br>
        <br>
    ","796","0","see_report","html-button-response","14","3424","0.0-6.0-1.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""text-container"" class=""container"">
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">If money is on the line, this is how much you will win or lose.</span>
            </div>
            <strong>Amount at Stake: </strong> 9&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is how much money you currently have.</span>
            </div>
            <strong>Your Wallet: </strong> 100&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is the smallest chance of winning you are willing to accept. If the reporter's estimate is higher than this, money will be on the line.</span>
            </div>
            <strong>Your Threshold: </strong> <input id=""minimum"" class=""percentage-enter"" name=""minimum"" type=""number"" max=""75"" min=""25"" placeholder=""25"" readonly=""true""/> % chance of winning
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">After seeing the wheel for one second, the reporter estimated that the chance of winning was this %.</span>
            </div>
            <strong>Reporter's Estimate: </strong> 30% chance of winning
            <div style=""text-align: center;"">
                <br>
                <br>
                <strong><u>MONEY ON THE LINE</u></strong>
                <br>
                <span style=""font-size: 15px"">Reporter's estimate was <u>higher</u> than your threshold</span>
            </div>
        </div>
        <div id=""wheel-container"" class=""container"">
            <div><span style=""font-weight: bolder; font-size: 30px;"">&darr;</span></div>
            <div id=""wheel"" class=""has-pin"" style=""background-image: conic-gradient(lightgreen 36%, black 0);""><div id=""pin""></div></div>
            <div id=""true-value""><strong>Exact chance of winning:</strong> 36%</div>
        </div>
        <br>
        <br>
    ","1062","0","see_wheel","html-button-response","15","3424","0.0-6.0-2.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""text-container"" class=""container"">
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">If money is on the line, this is how much you will win or lose.</span>
            </div>
            <strong>Amount at Stake: </strong> 9&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is how much money you currently have.</span>
            </div>
            <strong>Your Wallet: </strong> 100&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is the smallest chance of winning you are willing to accept. If the reporter's estimate is higher than this, money will be on the line.</span>
            </div>
            <strong>Your Threshold: </strong> <input id=""minimum"" class=""percentage-enter"" name=""minimum"" type=""number"" max=""75"" min=""25"" placeholder=""25"" readonly=""true""/> % chance of winning
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">After seeing the wheel for one second, the reporter estimated that the chance of winning was this %.</span>
            </div>
            <strong>Reporter's Estimate: </strong> 30% chance of winning
            <div style=""text-align: center;"">
                <br>
                <br>
                <strong><u>MONEY ON THE LINE</u></strong>
                <br>
                <span style=""font-size: 15px"">Reporter's estimate was <u>higher</u> than your threshold</span>
            </div>
        </div>
        <div id=""wheel-container"" class=""container"">
            <div><span style=""font-weight: bolder; font-size: 30px;"">&darr;</span></div>
            <div id=""wheel"" class=""has-pin"" style=""background-image: conic-gradient(lightgreen 36%, black 0);""><div id=""pin""></div></div>
            <div id=""true-value""><strong>Exact chance of winning:</strong> 36%</div>
        </div>
        <br>
        <br>
    ","625"," ","spin_wheel","html-keyboard-response","16","3424","0.0-6.0-3.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2829","{""manip_check"":""higher"",""truth_bn"":""1"",""truth_lk"":""3""}","measures_prac","survey-html-form","17","6256","0.0-6.0-4.0","ffcl5dp5qv","","","","","","","9","1","1","0","neutral","6","higher","1","3","25","30","36","","","","","","","","","","","","","","","","","","","",""
"","549","{""minimum"":""25""}","enter_minimum","survey-html-form","18","6809","0.0-6.0-0.1","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""text-container"" class=""container"">
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">If money is on the line, this is how much you will win or lose.</span>
            </div>
            <strong>Amount at Stake: </strong> 17&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is how much money you currently have.</span>
            </div>
            <strong>Your Wallet: </strong> 109&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is the smallest chance of winning you are willing to accept. If the reporter's estimate is higher than this, money will be on the line.</span>
            </div>
            <strong>Your Threshold: </strong> <input id=""minimum"" class=""percentage-enter"" name=""minimum"" type=""number"" max=""75"" min=""25"" placeholder=""25"" readonly=""true""/> % chance of winning
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">After seeing the wheel for one second, the reporter estimated that the chance of winning was this %.</span>
            </div>
            <strong>Reporter's Estimate: </strong> 22% chance of winning
            <div style=""text-align: center;"">
                <br>
                <br>
                <strong><u>MONEY NOT ON THE LINE</u></strong>
                <br>
                <span style=""font-size: 15px"">Reporter's estimate was <u>lower</u> than your threshold</span>
            </div>
        </div>
        <div id=""wheel-container"" class=""container"">
            <div><span style=""font-weight: bolder; font-size: 30px;"">&darr;</span></div>
            <div id=""wheel"" class=""masked"">???</div>
            <br>
            <br>
        </div>
        <br>
        <br>
    ","830","0","see_report","html-button-response","19","6810","0.0-6.0-1.1","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""text-container"" class=""container"">
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">If money is on the line, this is how much you will win or lose.</span>
            </div>
            <strong>Amount at Stake: </strong> 17&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is how much money you currently have.</span>
            </div>
            <strong>Your Wallet: </strong> 109&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is the smallest chance of winning you are willing to accept. If the reporter's estimate is higher than this, money will be on the line.</span>
            </div>
            <strong>Your Threshold: </strong> <input id=""minimum"" class=""percentage-enter"" name=""minimum"" type=""number"" max=""75"" min=""25"" placeholder=""25"" readonly=""true""/> % chance of winning
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">After seeing the wheel for one second, the reporter estimated that the chance of winning was this %.</span>
            </div>
            <strong>Reporter's Estimate: </strong> 22% chance of winning
            <div style=""text-align: center;"">
                <br>
                <br>
                <strong><u>MONEY NOT ON THE LINE</u></strong>
                <br>
                <span style=""font-size: 15px"">Reporter's estimate was <u>lower</u> than your threshold</span>
            </div>
        </div>
        <div id=""wheel-container"" class=""container"">
            <div><span style=""font-weight: bolder; font-size: 30px;"">&darr;</span></div>
            <div id=""wheel"" class=""has-pin"" style=""background-image: conic-gradient(lightgreen 26%, black 0);""><div id=""pin""></div></div>
            <div id=""true-value""><strong>Exact chance of winning:</strong> 26%</div>
        </div>
        <br>
        <br>
    ","697","0","see_wheel","html-button-response","20","6810","0.0-6.0-2.1","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""text-container"" class=""container"">
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">If money is on the line, this is how much you will win or lose.</span>
            </div>
            <strong>Amount at Stake: </strong> 17&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is how much money you currently have.</span>
            </div>
            <strong>Your Wallet: </strong> 109&#162;
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">This is the smallest chance of winning you are willing to accept. If the reporter's estimate is higher than this, money will be on the line.</span>
            </div>
            <strong>Your Threshold: </strong> <input id=""minimum"" class=""percentage-enter"" name=""minimum"" type=""number"" max=""75"" min=""25"" placeholder=""25"" readonly=""true""/> % chance of winning
            <br>
            <br>
            <div class=""tooltip"">
                &#9432;
                <span class=""tooltiptext"">After seeing the wheel for one second, the reporter estimated that the chance of winning was this %.</span>
            </div>
            <strong>Reporter's Estimate: </strong> 22% chance of winning
            <div style=""text-align: center;"">
                <br>
                <br>
                <strong><u>MONEY NOT ON THE LINE</u></strong>
                <br>
                <span style=""font-size: 15px"">Reporter's estimate was <u>lower</u> than your threshold</span>
            </div>
        </div>
        <div id=""wheel-container"" class=""container"">
            <div><span style=""font-weight: bolder; font-size: 30px;"">&darr;</span></div>
            <div id=""wheel"" class=""has-pin"" style=""background-image: conic-gradient(lightgreen 26%, black 0);""><div id=""pin""></div></div>
            <div id=""true-value""><strong>Exact chance of winning:</strong> 26%</div>
        </div>
        <br>
        <br>
    ","537"," ","spin_wheel","html-keyboard-response","21","6810","0.0-6.0-3.1","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2178","{""manip_check"":""equal"",""truth_bn"":""1"",""truth_lk"":""3""}","measures_prac","survey-html-form","22","8989","0.0-6.0-4.1","ffcl5dp5qv","","","","","","","17","0","0","1","positive","4","equal","1","3","25","22","26","","","","","","","","","","","","","","","","","","","",""
"","6104","{""Q0"":""Guess whether money will be on the line or not"",""Q1"":""Decide the amount of money at stake for each round"",""Q2"":""Every round, regardless of what numbers the Decider and the Reporter enter""}","comprehension","survey-multi-choice","23","8991","0.0-7.0-0.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","672","0","incorrect_response","html-button-response","24","8992","0.0-7.0-1.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","5590","{""Q0"":""Guess what number the Decider will enter"",""Q1"":""Decide which color to bet on"",""Q2"":""Only when the Reporter's estimate is lower than the number the Decider enters""}","comprehension","survey-multi-choice","25","8992","0.0-7.0-2.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","687","0","incorrect_response","html-button-response","26","8992","0.0-7.0-3.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6900","{""Q0"":""Guess whether money will be on the line or not"",""Q1"":""Decide which color to bet on"",""Q2"":""Only when the Reporter's estimate is greater than or equal to the number the Decider enters""}","comprehension","survey-multi-choice","27","8992","0.0-7.0-4.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
"
        <div style=""text-align: left"">
            You answered at least one question incorrectly. 
            In order to make sure our data is valid, we need to know that you understand the game.
            The questions that you answered incorrectly are highlighted below in red. 
            Please look back through the instructions <a href=""instructions.html"" target=""_blank"">here</a> to find the answers to those questions.
            Thank you for your cooperation!
            <br>
            <br>
            <form autocomplete=""off"">
                <div style=""color: firebrick"">
                    <p>What is the Reporter trying to do?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the percentage of the wheel that is black
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Guess what number the Decider will enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Estimate the chance of winning
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Guess whether money will be on the line or not
                        </label>
                    </div>
                </div>
                <div style=""color: firebrick"">
                    <p>What is the Decider trying to do?</p>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Decide which color to bet on
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the smallest chance of winning where they are willing to bet the amount at stake
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide whether or not the wheel will be spun
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Decide the amount of money at stake for each round
                        </label>
                    </div>
                </div>
                <div style=""color: black"">
                    <p>When will a bet go through?</p>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Every round, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            On randomly chosen rounds, regardless of what numbers the Decider and the Reporter enter
                        </label>
                    </div>
                    <div>
                        <label>
                            <input  disabled type=""radio"">
                            Only when the Reporter's estimate is lower than the number the Decider enters
                        </label>
                    </div>
                    <div>
                        <label>
                            <input checked disabled type=""radio"">
                            Only when the Reporter's estimate is greater than or equal to the number the Decider enters
                        </label>
                    </div>
                </div>
            </form>
        </div>
        <br>
        <br>
    ","883","0","incorrect_response","html-button-response","28","8992","0.0-7.0-5.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","5636","{""Q0"":""Guess whether money will be on the line or not"",""Q1"":""Decide the smallest chance of winning where they are willing to bet the amount at stake"",""Q2"":""Every round, regardless of what numbers the Decider and the Reporter enter""}","comprehension","survey-multi-choice","29","8992","0.0-7.0-6.0","ffcl5dp5qv","","","","","","","","","","","","","","","","","","","[0,1,2]","","","","","","","","","","","","","","","","","","",""
